Date,Ticker,Open,High,Low,Close,Volume
2018-01-18 16:00:00,PYPL,82.94,83.44,81.61,82.43,7395055.0
2018-01-19 16:00:00,PYPL,83.84,84.19,83.1283,83.23,8783546.0
2018-01-22 16:00:00,PYPL,83.98,84.21,83.22,84.0,7560451.0
2018-01-23 16:00:00,PYPL,84.21,84.55,83.45,84.12,9736409.0
2018-01-24 16:00:00,PYPL,83.71,85.29,82.71,84.52,8735746.0
2018-01-25 16:00:00,PYPL,84.34,85.27,83.71,84.0,7268277.0
2018-01-26 16:00:00,PYPL,85.45,85.49,84.04,84.46,7840318.0
2018-01-29 16:00:00,PYPL,84.31,85.35,83.62,85.2,8198945.0
2018-01-30 16:00:00,PYPL,83.78,84.17,82.0,83.0,7864528.0
2018-01-31 16:00:00,PYPL,85.32,86.32,84.16,84.18,15221427.0
2018-02-01 16:00:00,PYPL,78.4,80.95,76.7,79.95,44271646.0
2018-02-02 16:00:00,PYPL,76.57,79.62,76.28,78.1,21979787.0
2018-02-05 16:00:00,PYPL,74.705,78.98,74.68,75.95,18810638.0
2018-02-06 16:00:00,PYPL,75.68,76.515,72.25,72.63,19739626.0
2018-02-07 16:00:00,PYPL,75.59,77.58,74.94,75.35,11988019.0
2018-02-08 16:00:00,PYPL,72.32,75.91,72.27,75.63,13665355.0
2018-02-09 16:00:00,PYPL,74.75,75.27,71.63,73.14,14339365.0
2018-02-12 16:00:00,PYPL,75.28,76.28,74.852,75.49,10419606.0
2018-02-13 16:00:00,PYPL,74.97,75.6,74.55,74.81,7743645.0
2018-02-14 16:00:00,PYPL,77.27,77.36,74.13,74.18,8955753.0
2018-02-15 16:00:00,PYPL,78.295,78.3,76.58,78.01,9311008.0
2018-02-16 16:00:00,PYPL,78.37,78.75,77.53,78.2,9758525.0
2018-02-20 16:00:00,PYPL,77.06,78.54,76.66,77.7,6875391.0
2018-02-21 16:00:00,PYPL,76.51,78.496,76.465,77.2,8260361.0
2018-02-22 16:00:00,PYPL,77.7,78.37,76.77,76.8,6632292.0
2018-02-23 16:00:00,PYPL,79.69,79.7,77.391,78.26,7520694.0
2018-02-26 16:00:00,PYPL,79.35,80.05,78.98,80.0,7130682.0
2018-02-27 16:00:00,PYPL,79.46,79.929,78.61,79.11,8861955.0
2018-02-28 16:00:00,PYPL,79.41,82.17,79.39,79.9,10799506.0
2018-03-01 16:00:00,PYPL,78.64,80.44,77.88,79.6,8366691.0
