Date,Ticker,Open,High,Low,Close,Volume
2018-01-18 16:00:00,WFC,63.95,64.31,63.86,63.87,16305872.0
2018-01-19 16:00:00,WFC,64.22,64.2601,63.83,64.15,16524008.0
2018-01-22 16:00:00,WFC,64.73,64.75,63.97,64.0,12245161.0
2018-01-23 16:00:00,WFC,64.49,64.85,64.2249,64.31,12937130.0
2018-01-24 16:00:00,WFC,65.48,65.63,64.8,64.95,20180270.0
2018-01-25 16:00:00,WFC,65.65,65.85,65.4,65.7,17568706.0
2018-01-26 16:00:00,WFC,65.93,66.04,65.25,65.89,16251896.0
2018-01-29 16:00:00,WFC,65.82,66.31,65.66,65.78,16105189.0
2018-01-30 16:00:00,WFC,65.28,65.93,65.28,65.43,16158886.0
2018-01-31 16:00:00,WFC,65.78,66.1,65.16,65.27,18147919.0
2018-02-01 16:00:00,WFC,65.51,66.09,65.06,65.37,15717623.0
2018-02-02 16:00:00,WFC,64.07,65.5254,63.83,65.33,18905283.0
2018-02-05 16:00:00,WFC,58.16,59.89,57.5,58.7,103394442.0
2018-02-06 16:00:00,WFC,57.28,58.5,55.87,56.905,83076895.0
2018-02-07 16:00:00,WFC,57.54,58.115,56.75,56.94,45550954.0
2018-02-08 16:00:00,WFC,55.4,57.44,55.35,57.33,43569719.0
2018-02-09 16:00:00,WFC,56.13,56.54,54.72,56.14,48904558.0
2018-02-12 16:00:00,WFC,56.5,57.12,55.88,56.36,24401292.0
2018-02-13 16:00:00,WFC,58.0,58.09,55.95,56.06,24234222.0
2018-02-14 16:00:00,WFC,59.55,59.6,57.8,57.85,23681797.0
2018-02-15 16:00:00,WFC,60.02,60.1,59.15,59.82,22397333.0
2018-02-16 16:00:00,WFC,59.95,60.43,59.67,59.67,18661930.0
2018-02-20 16:00:00,WFC,59.95,61.2651,59.78,59.86,18517576.0
2018-02-21 16:00:00,WFC,59.73,60.49,59.73,59.86,19987777.0
2018-02-22 16:00:00,WFC,58.81,60.17,58.68,59.88,17948561.0
2018-02-23 16:00:00,WFC,59.17,59.24,58.35,59.07,21099194.0
2018-02-26 16:00:00,WFC,59.97,60.0,58.95,59.75,16478259.0
2018-02-27 16:00:00,WFC,59.21,60.48,59.21,60.03,17024431.0
2018-02-28 16:00:00,WFC,58.41,59.82,58.32,59.47,17869070.0
2018-03-01 16:00:00,WFC,57.31,58.94,57.06,58.25,28401920.0
