Date,Ticker,Open,High,Low,Close,Volume
2018-01-18 16:00:00,HTZ,22.43,23.28,21.51,22.26,8082428.0
2018-01-19 16:00:00,HTZ,23.92,24.19,22.17,22.43,5815042.0
2018-01-22 16:00:00,HTZ,24.29,24.97,23.75,23.75,2603179.0
2018-01-23 16:00:00,HTZ,24.13,24.76,23.75,24.27,2093164.0
2018-01-24 16:00:00,HTZ,23.32,24.46,23.22,24.12,1658722.0
2018-01-25 16:00:00,HTZ,22.88,23.7,22.68,23.35,2222231.0
2018-01-26 16:00:00,HTZ,24.15,24.17,22.22,22.95,3196873.0
2018-01-29 16:00:00,HTZ,23.98,24.9,23.42,24.02,2199856.0
2018-01-30 16:00:00,HTZ,23.21,23.79,22.95,23.7,2405007.0
2018-01-31 16:00:00,HTZ,22.93,23.65,22.51,23.31,1809194.0
2018-02-01 16:00:00,HTZ,22.21,22.69,22.09,22.58,2137527.0
2018-02-02 16:00:00,HTZ,22.27,22.74,21.84,22.0,2264513.0
2018-02-05 16:00:00,HTZ,21.19,22.68,21.12,21.94,2344566.0
2018-02-06 16:00:00,HTZ,21.27,22.0,20.56,20.59,2927571.0
2018-02-07 16:00:00,HTZ,21.56,21.88,21.03,21.29,1536482.0
2018-02-08 16:00:00,HTZ,20.1,21.78,20.07,21.76,2009807.0
2018-02-09 16:00:00,HTZ,19.91,20.4,18.52,20.36,4293171.0
2018-02-12 16:00:00,HTZ,20.17,20.36,19.17,20.14,2755916.0
2018-02-13 16:00:00,HTZ,18.6,19.99,18.35,19.99,5235556.0
2018-02-14 16:00:00,HTZ,18.71,19.15,17.19,17.5,6102052.0
2018-02-15 16:00:00,HTZ,18.62,19.26,17.83,18.83,3931881.0
2018-02-16 16:00:00,HTZ,19.24,19.4624,18.46,18.63,3842084.0
2018-02-20 16:00:00,HTZ,18.55,19.57,18.49,19.1,3271992.0
2018-02-21 16:00:00,HTZ,17.77,18.88,17.75,18.51,4228402.0
2018-02-22 16:00:00,HTZ,20.56,21.64,18.89,18.96,9382519.0
2018-02-23 16:00:00,HTZ,20.66,20.95,20.06,20.7,3079117.0
2018-02-26 16:00:00,HTZ,20.02,20.8507,19.81,20.76,3750137.0
2018-02-27 16:00:00,HTZ,19.26,20.43,19.05,20.14,4397850.0
2018-02-28 16:00:00,HTZ,18.19,18.52,16.3201,18.5,14908202.0
2018-03-01 16:00:00,HTZ,17.73,18.68,17.23,18.11,5215151.0
