Date,Ticker,Open,High,Low,Close,Volume
2018-03-01 03:01:00,BN,65.42,65.61,65.35,65.56,33620.0
2018-03-01 03:02:00,BN,65.66,65.66,65.41,65.45,4635.0
2018-03-01 03:04:00,BN,65.64,65.64,65.54,65.62,9031.0
2018-03-01 03:05:00,BN,65.84,65.84,65.64,65.67,2267.0
2018-03-01 03:06:00,BN,65.72,65.81,65.7,65.81,6888.0
2018-03-01 03:07:00,BN,65.72,65.73,65.65,65.67,5901.0
2018-03-01 03:08:00,BN,65.76,65.79,65.73,65.75,4997.0
2018-03-01 03:09:00,BN,65.74,65.76,65.7,65.75,3780.0
2018-03-01 03:10:00,BN,65.65,65.74,65.64,65.7,4134.0
2018-03-01 03:11:00,BN,65.66,65.72,65.64,65.7,2884.0
2018-03-01 03:12:00,BN,65.64,65.69,65.64,65.66,2438.0
2018-03-01 03:13:00,BN,65.64,65.65,65.58,65.63,6938.0
2018-03-01 03:14:00,BN,65.72,65.72,65.7,65.72,1549.0
2018-03-01 03:15:00,BN,65.66,65.73,65.66,65.73,1192.0
2018-03-01 03:16:00,BN,65.6,65.6,65.54,65.58,1434.0
2018-03-01 03:17:00,BN,65.61,65.66,65.61,65.66,1022.0
2018-03-01 03:18:00,BN,65.56,65.63,65.56,65.63,5056.0
2018-03-01 03:19:00,BN,65.54,65.6,65.54,65.6,1673.0
2018-03-01 03:20:00,BN,65.44,65.53,65.41,65.5,3850.0
2018-03-01 03:21:00,BN,65.43,65.46,65.42,65.42,1895.0
2018-03-01 03:22:00,BN,65.5,65.5,65.44,65.46,2725.0
2018-03-01 03:23:00,BN,65.55,65.57,65.54,65.55,2782.0
2018-03-01 03:24:00,BN,65.57,65.57,65.53,65.54,742.0
2018-03-01 03:25:00,BN,65.54,65.58,65.54,65.57,2278.0
2018-03-01 03:26:00,BN,65.54,65.58,65.54,65.54,3387.0
2018-03-01 03:27:00,BN,65.56,65.56,65.55,65.55,276.0
2018-03-01 03:28:00,BN,65.47,65.55,65.47,65.55,2716.0
2018-03-01 03:29:00,BN,65.5,65.51,65.47,65.48,2237.0
2018-03-01 03:30:00,BN,65.49,65.51,65.47,65.51,1779.0
2018-03-01 03:31:00,BN,65.46,65.52,65.45,65.5,2645.0
2018-03-01 03:32:00,BN,65.42,65.45,65.41,65.44,3170.0
2018-03-01 03:33:00,BN,65.46,65.46,65.41,65.42,1622.0
2018-03-01 03:34:00,BN,65.52,65.52,65.47,65.47,1234.0
2018-03-01 03:35:00,BN,65.64,65.65,65.56,65.56,1370.0
2018-03-01 03:36:00,BN,65.72,65.72,65.63,65.63,2057.0
2018-03-01 03:37:00,BN,65.66,65.74,65.65,65.71,2347.0
2018-03-01 03:38:00,BN,65.69,65.7,65.67,65.67,1756.0
2018-03-01 03:39:00,BN,65.67,65.67,65.66,65.66,1305.0
2018-03-01 03:40:00,BN,65.67,65.69,65.67,65.69,467.0
2018-03-01 03:41:00,BN,65.66,65.68,65.66,65.68,814.0
2018-03-01 03:42:00,BN,65.63,65.68,65.63,65.67,1360.0
2018-03-01 03:43:00,BN,65.69,65.7,65.64,65.64,1453.0
2018-03-01 03:44:00,BN,65.66,65.68,65.66,65.68,1600.0
2018-03-01 03:45:00,BN,65.7,65.7,65.68,65.68,613.0
2018-03-01 03:46:00,BN,65.65,65.68,65.65,65.68,1284.0
2018-03-01 03:47:00,BN,65.66,65.67,65.65,65.65,1421.0
2018-03-01 03:48:00,BN,65.61,65.65,65.6,65.65,1378.0
2018-03-01 03:49:00,BN,65.6,65.6,65.6,65.6,349.0
2018-03-01 03:50:00,BN,65.56,65.62,65.56,65.61,7182.0
2018-03-01 03:51:00,BN,65.56,65.57,65.54,65.56,1695.0
2018-03-01 03:52:00,BN,65.59,65.61,65.54,65.54,2390.0
2018-03-01 03:53:00,BN,65.58,65.6,65.57,65.6,882.0
2018-03-01 03:54:00,BN,65.59,65.6,65.58,65.58,826.0
2018-03-01 03:55:00,BN,65.6,65.61,65.58,65.6,1804.0
2018-03-01 03:56:00,BN,65.53,65.6,65.53,65.6,1964.0
2018-03-01 03:57:00,BN,65.58,65.59,65.52,65.52,13728.0
2018-03-01 03:58:00,BN,65.66,65.69,65.58,65.6,2993.0
2018-03-01 03:59:00,BN,65.68,65.69,65.65,65.65,2311.0
2018-03-01 04:00:00,BN,65.65,65.68,65.64,65.68,2940.0
2018-03-01 04:01:00,BN,65.55,65.61,65.55,65.61,1846.0
2018-03-01 04:02:00,BN,65.53,65.56,65.53,65.56,972.0
2018-03-01 04:03:00,BN,65.51,65.53,65.51,65.53,1411.0
2018-03-01 04:04:00,BN,65.47,65.5,65.46,65.5,1517.0
2018-03-01 04:05:00,BN,65.51,65.51,65.46,65.49,2140.0
2018-03-01 04:06:00,BN,65.44,65.51,65.44,65.49,4950.0
2018-03-01 04:07:00,BN,65.41,65.48,65.41,65.42,2632.0
