Date,Open,High,Low,Close,Adj Close,Volume
2017-02-21,20.270000,20.270000,19.719999,20.020000,20.020000,2928600
2017-02-22,19.889999,20.260000,19.879999,19.969999,19.969999,1784000
2017-02-23,20.129999,20.379999,19.900000,20.090000,20.090000,3092000
2017-02-24,19.850000,20.000000,19.340000,19.969999,19.969999,4226100
2017-02-27,20.000000,20.049999,19.590000,20.000000,20.000000,4015700
2017-02-28,20.299999,22.870001,20.059999,22.719999,22.719999,10119700
2017-03-01,22.799999,24.280001,22.110001,22.190001,22.190001,6595400
2017-03-02,22.250000,23.129999,21.799999,22.680000,22.680000,2650800
2017-03-03,22.799999,23.600000,22.700001,23.270000,23.270000,2219300
2017-03-06,23.160000,23.160000,21.180000,21.180000,21.180000,3897900
2017-03-07,21.340000,21.645000,20.889999,21.080000,21.080000,2446000
2017-03-08,21.170000,21.275000,20.709999,20.959999,20.959999,1865500
2017-03-09,21.080000,21.900000,20.968000,21.280001,21.280001,1981100
2017-03-10,21.420000,22.170000,21.389999,21.910000,21.910000,1558300
2017-03-13,21.940001,22.400999,21.440001,21.450001,21.450001,1581300
2017-03-14,21.309999,21.370001,20.830000,21.209999,21.209999,1444400
2017-03-15,21.299999,21.915001,21.148001,21.830000,21.830000,1727400
2017-03-16,21.940001,22.910000,21.940001,22.860001,22.860001,2124600
2017-03-17,22.770000,23.110001,21.350000,21.690001,21.690001,4768600
2017-03-20,21.840000,22.020000,21.010000,21.260000,21.260000,1680400
2017-03-21,21.330000,21.330000,18.520000,19.400000,19.400000,8623300
2017-03-22,19.270000,19.410000,18.400000,18.559999,18.559999,3904500
2017-03-23,18.570000,18.580000,17.680000,17.809999,17.809999,5488900
2017-03-24,17.990000,18.129999,16.870001,17.450001,17.450001,4325200
2017-03-27,17.059999,17.559999,16.830000,17.250000,17.250000,5037000
2017-03-28,17.350000,17.639999,17.163000,17.350000,17.350000,2857400
2017-03-29,17.209999,17.840000,17.010000,17.690001,17.690001,3190200
2017-03-30,17.670000,17.809999,17.160000,17.549999,17.549999,2734100
2017-03-31,17.559999,17.990000,17.430000,17.540001,17.540001,2924400
2017-04-03,17.540001,17.690001,15.930000,15.960000,15.960000,6228900
2017-04-04,16.000000,16.040001,14.900000,15.600000,15.600000,7352800
2017-04-05,15.740000,16.038000,15.390000,15.510000,15.510000,4237700
2017-04-06,15.520000,15.730000,15.130000,15.690000,15.690000,2418000
2017-04-07,15.680000,16.170000,15.460000,15.480000,15.480000,3583100
2017-04-10,15.450000,16.230000,15.326000,16.000000,16.000000,4512500
2017-04-11,15.930000,16.450001,15.750000,16.080000,16.080000,5377700
2017-04-12,15.970000,16.010000,15.230000,15.770000,15.770000,3069100
2017-04-13,15.650000,15.880000,15.601000,15.730000,15.730000,2452000
2017-04-17,15.670000,16.030001,15.670000,15.970000,15.970000,1652800
2017-04-18,15.850000,16.000000,15.560000,15.900000,15.900000,1430400
2017-04-19,15.970000,16.105000,15.710000,15.730000,15.730000,2647000
2017-04-20,15.770000,16.000000,15.540000,15.850000,15.850000,2381900
2017-04-21,15.880000,16.020000,15.620000,15.640000,15.640000,3554000
2017-04-24,16.000000,16.309999,15.830000,16.150000,16.150000,3156200
2017-04-25,16.170000,16.920000,16.139999,16.770000,16.770000,3158500
2017-04-26,16.700001,17.490000,16.660000,17.360001,17.360001,2518700
2017-04-27,17.360001,17.809999,17.209999,17.360001,17.360001,2250700
2017-04-28,17.360001,17.563000,16.170000,16.490000,16.490000,3393700
2017-05-01,16.530001,16.799999,16.219999,16.480000,16.480000,1335700
2017-05-02,16.480000,16.480000,15.850000,16.190001,16.190001,1705200
2017-05-03,16.110001,16.150000,15.050000,15.460000,15.460000,4285400
2017-05-04,15.230000,15.380000,14.320000,14.610000,14.610000,6390700
2017-05-05,14.740000,15.360000,14.520000,14.980000,14.980000,2819300
2017-05-08,15.000000,15.290000,14.260000,14.910000,14.910000,7590300
2017-05-09,12.660000,13.420000,11.780000,12.800000,12.800000,31093500
2017-05-10,12.760000,12.940000,12.400000,12.480000,12.480000,6638300
2017-05-11,12.380000,12.400000,11.020000,11.060000,11.060000,12085100
2017-05-12,11.150000,11.170000,10.400000,10.510000,10.510000,8441400
2017-05-15,10.640000,10.820000,10.150000,10.690000,10.690000,9303800
2017-05-16,10.800000,10.940000,10.352000,10.840000,10.840000,6723100
2017-05-17,10.700000,10.720000,9.880000,9.900000,9.900000,9936500
2017-05-18,9.960000,9.980000,9.290000,9.330000,9.330000,9064400
2017-05-19,9.350000,10.145000,9.240000,10.060000,10.060000,10467900
2017-05-22,9.940000,10.550000,9.830000,10.490000,10.490000,7050500
2017-05-23,10.490000,10.519000,9.790000,9.810000,9.810000,4564800
