Date,Open,High,Low,Close,Adj Close,Volume
2017-02-21,25.680000,25.700001,25.320000,25.570000,25.100227,148600
2017-02-22,25.580000,25.730000,25.450001,25.680000,25.208208,141800
2017-02-23,25.750000,25.790001,25.570000,25.590000,25.119862,135900
2017-02-24,25.940001,26.200001,25.930000,26.190001,25.708839,168300
2017-02-27,26.090000,26.430000,26.090000,26.350000,25.865898,177400
2017-02-28,26.250000,26.350000,26.059999,26.110001,25.630308,142700
2017-03-01,26.000000,26.010000,25.610001,25.820000,25.345634,233100
2017-03-02,25.090000,25.250000,25.000000,25.070000,24.609415,378400
2017-03-03,25.950001,26.090000,25.900000,26.040001,25.561594,337500
2017-03-06,26.590000,26.740000,26.480000,26.740000,26.248732,306100
2017-03-07,26.930000,28.170000,26.799999,27.660000,27.151831,803800
2017-03-08,27.350000,27.360001,27.049999,27.260000,26.759180,423100
2017-03-09,26.830000,27.020000,26.790001,26.860001,26.366529,385300
2017-03-10,27.000000,27.000000,26.770000,26.850000,26.356712,236400
2017-03-13,27.379999,27.379999,27.100000,27.160000,26.661016,129300
2017-03-14,26.959999,27.100000,26.870001,27.000000,26.503956,128700
2017-03-15,27.020000,27.400000,27.020000,27.400000,26.896606,379500
2017-03-16,27.639999,27.809999,27.639999,27.740000,27.230362,298900
2017-03-17,28.350000,29.580000,28.299999,29.049999,28.516293,1221500
2017-03-20,29.059999,29.549999,28.990000,29.410000,28.869678,630700
2017-03-21,29.240000,29.299999,29.040001,29.040001,28.506479,709600
2017-03-22,30.440001,30.959999,30.430000,30.959999,30.391203,809200
2017-03-23,30.370001,30.650000,30.080000,30.500000,29.939653,586800
2017-03-24,30.270000,30.760000,30.070000,30.219999,29.664799,406300
2017-03-27,30.340000,30.500000,30.170000,30.459999,29.900387,197500
2017-03-28,30.230000,30.240000,29.520000,29.760000,29.680149,248000
2017-03-29,29.750000,30.000000,29.730000,29.870001,29.789854,125600
2017-03-30,29.420000,29.420000,29.000000,29.150000,29.071785,174800
2017-03-31,29.200001,29.270000,28.920000,29.020000,28.942135,184400
2017-04-03,30.090000,30.100000,29.820000,29.959999,29.879612,174000
2017-04-04,29.320000,29.760000,29.219999,29.299999,29.221382,226100
2017-04-05,29.320000,29.490000,29.280001,29.299999,29.221382,131700
2017-04-06,29.809999,29.879999,29.650000,29.790001,29.710070,165800
2017-04-07,29.059999,29.309999,28.930000,29.160000,29.081758,338800
2017-04-10,28.940001,29.030001,28.930000,29.020000,28.942135,153900
2017-04-11,29.040001,29.120001,28.959999,29.100000,29.021921,96300
2017-04-12,29.059999,29.250000,29.059999,29.139999,29.061811,76200
2017-04-13,28.900000,29.150000,28.879999,28.990000,28.912214,217900
2017-04-17,30.520000,30.600000,30.320000,30.459999,30.378269,424200
2017-04-18,30.530001,30.650000,30.530001,30.590000,30.507923,143300
2017-04-19,31.110001,31.360001,31.100000,31.350000,31.265882,579600
2017-04-20,30.750000,31.059999,30.740000,30.910000,30.827063,831800
2017-04-21,30.870001,30.969999,30.870001,30.920000,30.837036,235300
2017-04-24,31.320000,31.370001,31.070000,31.100000,31.016554,289000
2017-04-25,31.620001,31.650000,31.469999,31.650000,31.565077,743600
2017-04-26,31.049999,31.150000,30.740000,31.049999,30.966686,270600
2017-04-27,30.200001,30.280001,29.770000,30.000000,29.919506,821000
2017-04-28,31.430000,31.690001,31.250000,31.680000,31.594997,797000
2017-05-01,31.690001,31.700001,31.610001,31.650000,31.565077,197600
2017-05-02,31.590000,31.639999,31.500000,31.559999,31.475319,333500
2017-05-03,31.549999,31.600000,31.500000,31.590000,31.505239,186500
2017-05-04,31.559999,31.680000,31.549999,31.670000,31.585024,198400
2017-05-05,31.670000,32.240002,31.650000,32.240002,32.153496,723400
2017-05-08,31.950001,32.060001,31.910000,32.049999,31.964005,280300
2017-05-09,31.650000,31.820000,31.520000,31.740000,31.654837,449800
2017-05-10,32.389999,32.450001,32.220001,32.419998,32.333012,514200
2017-05-11,32.369999,32.419998,32.240002,32.389999,32.303093,293400
2017-05-12,32.439999,32.509998,32.320000,32.380001,32.293121,148000
2017-05-15,32.830002,32.900002,32.689999,32.810001,32.721966,239600
2017-05-16,33.029999,33.139999,32.900002,33.029999,32.941376,410600
2017-05-17,33.820000,33.900002,33.209999,33.439999,33.350273,893800
2017-05-18,34.000000,34.070000,33.740002,34.040001,33.948666,705700
2017-05-19,34.080002,34.189999,33.900002,34.150002,34.058372,255300
2017-05-22,34.230000,34.360001,34.090000,34.290001,34.197994,225800
2017-05-23,34.450001,34.849998,34.389999,34.790001,34.696655,382400
2017-05-24,35.330002,35.650002,35.330002,35.549999,35.454613,286200
2017-05-25,35.740002,36.080002,35.619999,35.950001,35.853542,364500
2017-05-26,37.599998,37.610001,37.299999,37.549999,37.449245,584000
2017-05-30,37.799999,38.389999,37.799999,38.180000,38.077557,611600
2017-05-31,38.049999,38.090000,37.750000,37.830002,37.728497,315700
2017-06-01,37.330002,37.400002,36.919998,37.070000,36.970535,1127400
2017-06-02,37.459999,37.840000,37.459999,37.840000,37.738468,360600
2017-06-05,38.799999,39.099998,38.750000,39.090000,38.985115,570900
2017-06-06,39.480000,40.360001,39.230000,40.209999,40.102108,1789500
2017-06-07,39.130001,39.220001,38.900002,38.910000,38.805599,865600
2017-06-08,38.900002,39.099998,38.570000,39.099998,38.995087,657800
2017-06-09,39.380001,39.740002,37.959999,38.430000,38.326885,1450700
2017-06-12,38.430000,38.630001,38.040001,38.630001,38.526352,493600
2017-06-13,38.480000,39.799999,38.410000,39.250000,39.144688,1613400
