Date,Open,High,Low,Close,Adj Close,Volume
12-04-2017,42.099998,42.810001,42.060001,42.490002,42.490002,5800100
13-04-2017,42.5,42.889999,42.32,42.549999,42.549999,3631400
17-04-2017,42.599998,43.139999,42.599998,43.099998,43.099998,3151600
18-04-2017,43.200001,43.200001,42.860001,43.09,43.09,3711600
19-04-2017,43.029999,43.470001,42.900002,43.299999,43.299999,4913900
20-04-2017,43.32,43.799999,43.259998,43.689999,43.689999,4811200
21-04-2017,43.860001,44,43.599998,43.810001,43.810001,5595700
24-04-2017,44.09,44.279999,43.950001,44.27,44.27,4643800
25-04-2017,44.490002,45.009998,44.349998,44.709999,44.709999,7827900
26-04-2017,45.040001,45.040001,44.25,44.41,44.41,9846900
27-04-2017,47.25,48.099998,46.75,47.150002,47.150002,34420200
28-04-2017,47.029999,47.755001,46.869999,47.720001,47.720001,11641900
01-05-2017,47.389999,47.713001,47.32,47.540001,47.540001,14537500
02-05-2017,47.41,49.07,47.400002,49.049999,49.049999,16820800
03-05-2017,49.16,49.290001,48.625,49.02,49.02,11613100
04-05-2017,48.93,49.380001,48.82,48.91,48.91,7148800
05-05-2017,48.619999,49.439999,48.400002,49.299999,49.299999,4876200
08-05-2017,49.43,49.450001,48.810001,49.169998,49.169998,6641000
09-05-2017,49.060001,49.369999,48.900002,49.220001,49.220001,4774000
10-05-2017,49.18,49.799999,49.014999,49.790001,49.790001,6507700
11-05-2017,49.630001,49.709999,49.110001,49.700001,49.700001,5547700
12-05-2017,49.580002,49.75,49.240002,49.369999,49.369999,4933700
15-05-2017,49.310001,50,49.25,49.77,49.77,4705900
16-05-2017,49.630001,50.349998,49.57,50.34,50.34,5347200
17-05-2017,49.869999,50.099998,49.025002,49.049999,49.049999,6598400
18-05-2017,49.029999,49.580002,48.889999,49.110001,49.110001,9932100
19-05-2017,49.150002,49.709999,49.060001,49.389999,49.389999,7813800
22-05-2017,49.450001,49.880001,49.349998,49.77,49.77,13144900
23-05-2017,49.900002,50.18,49.77,50.130001,50.130001,7134200
24-05-2017,50.23,51.080002,50.139999,51.049999,51.049999,6274800
25-05-2017,50.77,51.130001,50.639999,50.93,50.93,4950500
26-05-2017,51.040001,51.389999,50.889999,51.189999,51.189999,4780800
30-05-2017,50.959999,51.279999,50.860001,51.060001,51.060001,5550300
31-05-2017,51.130001,52.240002,50.880001,52.209999,52.209999,11107200
01-06-2017,52.48,53.389999,52.474998,53.16,53.16,13898300
02-06-2017,53.439999,53.639999,53.080002,53.52,53.52,9121800
05-06-2017,53.77,54.07,53.59,53.799999,53.799999,9656400
06-06-2017,53.75,53.799999,53.16,53.400002,53.400002,6308000
07-06-2017,53.299999,53.939999,53.259998,53.849998,53.849998,6368700
08-06-2017,54.029999,54.43,53.450001,54.389999,54.389999,6344000
09-06-2017,54.650002,55.139999,52.849998,53.400002,53.400002,11174100
12-06-2017,52.810001,52.900002,51.43,52.16,52.16,15765600
13-06-2017,52.290001,52.485001,51.700001,52.060001,52.060001,10411800
14-06-2017,52,52.505001,51.535,51.900002,51.900002,7132500
15-06-2017,51.439999,52.380001,50.830002,52.290001,52.290001,12401600
16-06-2017,52.040001,52.16,51.580002,51.84,51.84,10931000
19-06-2017,52.279999,53,52.110001,52.93,52.93,5643900
20-06-2017,52.84,53.23,52.43,52.52,52.52,4578700
21-06-2017,52.990002,53.580002,52.610001,53.540001,53.540001,8016500
22-06-2017,53.709999,53.951,52.860001,53.869999,53.869999,9673000
23-06-2017,53.82,54.529999,53.689999,54.330002,54.330002,6257300
26-06-2017,54.439999,55.099998,53.650002,53.740002,53.740002,4890300
27-06-2017,53.599998,53.790001,52.639999,52.73,52.73,7706800
28-06-2017,52.75,54.439999,52.650002,54.389999,54.389999,7934300
29-06-2017,53.810001,54.099998,52.52,53.419998,53.419998,11616200
30-06-2017,53.599998,54.25,53.290001,53.669998,53.669998,8235000
03-07-2017,54.139999,54.330002,52.830002,52.869999,52.869999,4831300
05-07-2017,53,54.75,52.939999,54.610001,54.610001,9800600
06-07-2017,54.220001,54.351002,53.150002,53.470001,53.470001,7447900
07-07-2017,53.700001,54.48,53.52,53.970001,53.970001,4948100
10-07-2017,54.91,55.419998,54.700001,54.939999,54.939999,10469600
11-07-2017,54.919998,55.200001,54.330002,54.759998,54.759998,9011500
12-07-2017,56.599998,57.445,55.549999,56.549999,56.549999,17490800
13-07-2017,57.299999,57.91,56.799999,57.900002,57.900002,14795500
14-07-2017,58.139999,58.630001,56.915001,57.16,57.16,11777100
17-07-2017,57.529999,57.599998,57.02,57.580002,57.580002,5803300
18-07-2017,57.5,58.959999,57.310001,58.959999,58.959999,9477500
19-07-2017,58.310001,58.619999,57.549999,58.349998,58.349998,9706700
20-07-2017,58.75,59.380001,58.43,59.09,59.09,8057400
21-07-2017,59,59.330002,58.59,58.669998,58.669998,7545000
24-07-2017,58.900002,59.07,58.34,58.580002,58.580002,6429300
25-07-2017,58.73,58.830002,58.189999,58.259998,58.259998,8514000
26-07-2017,58.48,58.939999,57.900002,58.790001,58.790001,13615600
27-07-2017,61,61.299999,57.692001,60.150002,60.150002,22713400
28-07-2017,59.799999,60.709999,59.040001,59.200001,59.200001,10800800
31-07-2017,59.369999,59.639999,58.52,58.549999,58.549999,7400700
01-08-2017,59,59.389999,58.790001,59.34,59.34,9079100
02-08-2017,59.669998,59.709999,58.439999,59.119999,59.119999,6517300
03-08-2017,59.16,59.279999,58.360001,58.419998,58.419998,6260000
04-08-2017,58.619999,58.93,58.32,58.860001,58.860001,6174100
07-08-2017,59.18,59.639999,58.84,59.619999,59.619999,5887600
08-08-2017,59.610001,59.880001,59.25,59.48,59.48,6001900
09-08-2017,58.970001,59.73,58.59,59.669998,59.669998,6023900
10-08-2017,59.240002,59.369999,57.810001,58.02,58.02,9571200
11-08-2017,57.849998,58.25,57.580002,58.040001,58.040001,6961800
14-08-2017,58.610001,59.276001,58.271,59.060001,59.060001,7561800
15-08-2017,59.299999,59.98,59.23,59.689999,59.689999,6483500
16-08-2017,59.950001,60.700001,59.599998,60.290001,60.290001,5747000
17-08-2017,60.150002,60.279999,59.290001,59.290001,59.290001,6744200
18-08-2017,59.360001,59.82,58.939999,59.439999,59.439999,4653300
21-08-2017,59.330002,59.650002,58.755001,59.400002,59.400002,4243200
22-08-2017,59.720001,61,59.439999,60.84,60.84,5835700
23-08-2017,60.299999,60.509998,59.82,60.049999,60.049999,4532000
24-08-2017,60.220001,60.43,59.110001,60,60,4045300
25-08-2017,60.330002,60.580002,59.610001,59.970001,59.970001,4087400
28-08-2017,60.310001,60.529999,59.810001,60.529999,60.529999,4660600
29-08-2017,59.82,61.16,59.630001,61.009998,61.009998,4359300
30-08-2017,61.049999,61.860001,60.889999,61.77,61.77,5696000
31-08-2017,62,62.028999,61.169998,61.68,61.68,6145800
01-09-2017,61.98,62.23,61.382999,61.459999,61.459999,3440400
05-09-2017,61.259998,61.75,60.580002,61.27,61.27,5501200
06-09-2017,61.740002,61.990002,60.900002,61.240002,61.240002,5350900
07-09-2017,61.330002,62.130001,61.279999,62,62,5022700
08-09-2017,61.939999,62,61.099998,61.130001,61.130001,4942600
11-09-2017,61.73,63.259998,61.619999,62.639999,62.639999,8266300
